text,label,train or test,rater 1 label,rater 2 label,test rater label
What's the basis of his argument? Is it even logically valid?,4.5,test,6,6,4
What’s the main reason you want to leave your current job?,4,test,4,4,2
what's up,2,test,2,2,2
"When I do, let's go to one of our favorite spots in the park, where we can watch the ducks waddle and feed breadcrumbs to the squirrels.",4.5,test,4,4,5
"When the bonds mature, the issuer must repay in full.",6,test,6,6,4.5
When were you in the city?,2.25,train,2.5,2,
"When you activate SendGrid management for a subsite, that site will not be able to send emails until the admin updates the SendGrid settings on that subsite.",4.75,train,5,4.5,
Where are you from?,1,test,1,2,1
Where can we find food?,2.5,train,2,2,
Where did you buy it? At a supermarket. I go there every day.,2,train,2.5,1,
Where did you go?,2,train,2,2,
"Whether diseases start at home or abroad, are curable or preventable, chronic or acute, or from human activity or deliberate attack, CDC responds to America's most pressing health threats.",5.5,test,5,6,6
Which one do you like?,2.75,test,2,2,2
Who organized this party? It's so fun! I'm glad you came!,2.5,train,3,2,
Who's that guy?,2,test,2,2,2
Who's your favorite character from this movie? My favorite character is Hansel. He is awesome!,3.5,train,3,4,
"With a positive attitude, you'll get it done.",3.5,train,3.5,3.5,
"With Blue Grape, an ingredient that's significantly rich in antioxidant anthocyanins and tannins, and efficiently protects epidermal cells from photo-ageing.",6,test,4,5,6
"With hard work, perseverance, and a good attitude.",4.5,test,4,5,3.5
"With the right training, they could have a lot of potential.",4.25,train,4,4.5,
Within these additional degrees of freedom more heat energy in the form of vibrations can be stored.,6,train,6,6,
Would you care for a sugar substitute like agave syrup with your coffee instead of sugar?,5,train,5,5,
Would you concur with a view that one condition of being a good colleague is self-sacrificing in the interest of achieving a larger goal as a team?,6,test,6,6,6
"Would you like to go somewhere special for lunch, or should we just pick a restaurant near the park?",4,test,4,4,4
Wow! Mine is 'The Simpsons'. Are you familiar with it?,2.5,test,3,2,3
yeah could be,3,test,3,3,4
"Yeah I love that movie because of the characters, like Derek Zoolander, Maury Ballstein, Hansel and Jacobim Mugatu, they are so ridiculous.",4.25,train,4,4.5,
"Yeah, it's quite a controversy!",4.75,test,5,4.5,4
"Yeah, they are. They have such cute and unique characters, I especially love their noses. What do you like about Otters?",4,test,4,4,4
yes a long time ago,2,test,2.5,1,2
yes for sure! I'll be there in my best kimono.,3.5,test,3.5,3.5,2
Yes i could,2.25,test,2.5,2,1
yes I have,2.25,test,2,2.5,1
Yes I like it,1,train,1,1,
yes I like reading,2,train,2.5,1,
yes I like that idea,2,train,2,2,
yes I like to Talk about it,2.75,train,3,2.5,
yes I play piano,1.5,test,2,1,1
yes I think so,2.75,test,2.5,3,2
Yes I use my laptop computer for work.,3,train,3,3,
yes I will pay with cash,2.75,train,3,2.5,
yes of course I need it,2.5,test,2.5,2.5,2
yes okay,1,train,1,1,
yes please I need your help,2,test,2,2,1
yes there are,1.5,train,1,2,
yes very much,1,test,1,1,1
yes we do,1.5,test,2,1,1
Yes we should.,2.25,train,2,2.5,
yes yes it's okay,1,train,1,1,
"Yes, and I recommend it!",2.75,train,2.5,3,
"Yes, business not pleasure.",3.75,test,3.5,4,3
"Yes, but patience is a virtue that I need to work on.",4,test,4,4,5
"Yes, his comments resonated with me deeply. I had faced the same situation before.",6,test,6,6,5
"Yes, I agree. It's very amazing.",2.25,test,2,2.5,1
"Yes, I just got a new account.",2.5,train,2,2,
"Yes, I'm certain that's the way.",4,train,3.5,4.5,
"Yes, I'm very conscious of the problems we tackle.",4.5,train,5,4,
"Yes, I'm very proud of my achievement.",3.25,train,3.5,3,
"Yes, I've been waiting for you to get ready.",3,test,3,2,2
"Yes, I've made a significant amount of progress on my project.",3.5,train,3.5,3.5,
"Yes, it used to be the residence of a famous writer.",4.5,test,2.5,3,5
"Yes, it's three stops away.",3.5,train,3.5,3.5,
"Yes, please",1,train,1,1,
"Yes, so I'm studying hard now to avoid having to cram at the last minute.",4.75,test,3.5,4.5,5
Yes! I am so relieved that you found it.,4,train,4,5,
Yes. For once I wish they had written less comprehensive instructions.,5,test,5,5,4
Yes. Please help.,1,test,1,1,1
Yes. We're close.,2.5,test,3,2,2
You are tall.,1,train,1,1,
You are welcome!,1,train,1,1,
"You could learn. There are classes, or you can try teaching yourself using You-tube videos of other people playing. It's super fun, and a good way to build hand coordination.",4,train,4,4,
"You could try using adjectives such as 'vast', 'infinite', or 'mysterious.'",4.75,train,5,4.5,
"You got it! We have whole milk, 2% or skim. Which would you like? By the way, what is your name? You can call me Bearnard.",3,train,3.5,2.5,
You have to take it to the dump.,3.5,train,3,2.5,
"You mean my hood? ... aha! There are my keys! Now I can get back into my igloo! Thanks, friend!",3.75,train,3.5,4,
You need to download it to your phone.,3,train,3.5,4,
You should make sure to respect diversity and treat everyone equally.,4.25,train,4.5,4,
You should see that film!,2.25,train,2.5,2,
"You think she can help us? Yes, definitely. That's right in her wheelhouse.",4.5,test,6,6,4.5
You too,1,test,1,1,1
"You will be working with at least one, but maybe more, content managers at several different institutions or units, or you will have both roles yourself.",5,test,5,5,4.5
"You'll be eating at a great time - the sunset will be beautiful, and the restaurant will be empty enough to have very good service!",4.5,test,4,5,2.5
you're right,2,test,2,2,1
"You're right, business prospects are bleak. I'm ready to talk turkey.",6,train,6,6,
You're welcome! It was a pleasure to talk to you. Bye!,3.5,test,3.5,3.5,3
You're welcome.,1,train,1,1,
your hat,1,train,1,1,
your house,1,train,1,2.5,
